source_id,ra,dec,catalogs,distance_kpc,V_total,V_GSR,v_esc,v_ratio,V_GSR_mc_mean,V_GSR_mc_std,P_v500,P_unbound,ruwe,parallax_over_error,radial_velocity,sample_final_strict,lamost_teff,lamost_logg,lamost_feh,lamost_rv,lamost_rv_err,delta_rv,rv_outlier,lamost_n_matches,lamost_designation
3877058564258758656,154.44467629206406,9.869414960885791,liao2024,7.36156955310476,940.1417673705824,703.2808300635313,477.4412162061779,1.473020774477558,718.0999374914138,109.63253487859356,0.997,1.0,1.003081,8.127847240770564,314.4333,True,5142.63,2.291,-1.214,308.6,3.67,-5.833288574218727,False,2.0,J101746.73+095210.2
1383279090527227264,240.3373434419254,41.166772756632206,"li2021,liao2024",7.651049933323279,1013.3891136954448,812.5882488940069,518.287316705821,1.5678335600777022,821.6166287354218,101.54333785079282,1.0,1.0,1.0409881,9.9450226505599,-183.59418,True,4801.0,1.884,-1.4,-183.97,3.01,-0.37582275390624886,False,2.0,J160120.99+411000.5
1375165725506487424,231.84861431058908,36.03441308171392,"li2021,liao2024",9.888495710915665,975.081629709923,762.5981185910124,525.9038715957192,1.450071314890886,772.0818825643339,128.55630488235033,0.996,0.989,1.1406634,7.966778418443051,-85.605896,True,4242.47,0.749,-1.294,-94.25,4.53,-8.64410400390625,False,1.0,J152723.68+360204.0
3960007851762445696,187.4195629607277,24.505898691941105,"li2021,liao2024",9.134702961707156,974.0264612617192,739.8362497432416,506.40225774493376,1.4609655435538849,764.599556969875,159.07405924634708,0.992,0.988,1.0746093,6.276366396445495,244.79881,True,4928.46,2.128,-1.342,236.06,3.67,-8.738812866210935,False,3.0,J122940.71+243021.5
1480182073940289024,219.1694977035332,35.62872942987709,liao2024,9.2389126066244,940.2401716559028,695.5525021946042,525.0409657306564,1.3247585380821876,708.7913734779765,105.2341661332259,0.995,0.986,0.9623561,8.42333217915759,-303.29297,True,5667.21,3.54,-1.778,-304.71,5.24,-1.4170312499999795,False,2.0,J143640.70+353743.6
1204061267883975040,238.11124181886743,20.19693940953324,liao2024,13.009688369165165,1105.4400633346493,871.3526839062079,559.6068051579335,1.5570802139553908,908.8049961773568,224.11429023371036,0.998,0.984,0.90651745,5.315811718468181,-262.89703,True,4612.38,1.175,-2.377,-266.69,3.4,-3.7929663085937477,False,2.0,J155226.70+201148.9
4429980078286167424,237.5303150246977,6.900228779451304,liao2024,7.955562896845043,1002.554284689544,772.8701510473875,600.7010213705938,1.2866136789379228,792.82549900244,136.34550610319437,0.998,0.979,1.0581794,7.936328412986718,-16.625776,True,4987.77,2.365,-1.668,-25.08,3.92,-8.454223709106444,False,1.0,J155007.28+065401.1
1297316350890352000,248.17763607815107,21.27211481704506,liao2024,12.04037378505135,942.7644452906504,722.8821520987924,541.5948451352248,1.334728641884145,739.8558820699579,135.4345808367564,0.994,0.96,0.96986854,6.633409733846745,-335.14014,True,4430.71,1.245,-1.227,-342.4,3.68,-7.259863281249977,False,1.0,J163242.64+211619.8
3651065597121243648,223.082594219402,-0.0757427147398767,liao2024,7.506396098401607,1006.3864926373484,775.018796515182,591.4712396755612,1.3103237224861548,799.7627580411147,166.89852044073857,0.996,0.957,1.0505538,6.691102819216132,96.5666,True,5059.02,2.355,-2.112,88.79,3.71,-7.776596984863275,False,1.0,J145219.83-000432.5
2123569205674089856,275.49746099365746,49.44002895389446,liao2024,13.497794574913293,675.0024909744558,597.2923625308832,466.4509862559298,1.280504018922074,609.6869275840381,106.06363307491974,0.876,0.93,1.1088649,6.842720715058405,-88.116356,True,4204.98,0.867,-1.233,-91.75,4.01,-3.6336441040039062,False,1.0,J182159.40+492624.0
4450458649852400640,242.69748972926607,7.159996140854514,liao2024,7.211828443213722,807.3335973589517,676.1984913072587,590.7721968058852,1.1446010745990518,686.5962031905605,80.90185318091008,1.0,0.927,0.87231994,10.091981971711808,-119.920296,True,4757.56,1.723,-1.592,-124.18,3.83,-4.259704284667976,False,1.0,J161047.39+070936.3
3910968052615480192,175.23141847992065,8.101426320262455,liao2024,12.601143936273363,905.3059486077452,661.172577522244,486.6616268477863,1.3585878586828457,688.3674364089379,172.73509159493534,0.913,0.926,0.9896933,5.029245867833901,372.45584,True,4456.41,0.804,-2.012,367.88,4.54,-4.5758410644531295,False,2.0,J114055.54+080605.3
2105847208541125248,284.9691585522302,43.91403514847219,liao2024,10.616737020628388,659.0247179008147,573.9963923215496,482.0311684633744,1.1907868824153909,587.1283596823117,87.4166215900966,0.859,0.883,1.099828,7.396076386791488,-198.93117,True,4507.15,1.078,-1.22,-203.49,4.18,-4.558832397460947,False,1.0,J185952.62+435451.3
4547925480869924096,256.7448857754349,17.373980126571052,liao2024,13.300015163934347,914.5541636660134,699.8900439384959,524.4254412417099,1.3345844592919236,737.5117478425519,216.8229371976693,0.95,0.874,0.98335165,5.068170691773614,-294.58057,True,4569.65,1.33,-1.402,-310.47,5.7,-15.889433593750027,False,2.0,J170658.78+172226.5
