rank,Gaia DR3 source\_id,catalogues,$d_\mathrm{BJ}$ [kpc],"$\overline{v_{\rm grf}}$ [\,km\,s$^{-1}$\,]","$\sigma_{v_{\rm grf}}$ [\,km\,s$^{-1}$\,]","$V_\mathrm{tot,helio}$ [\,km\,s$^{-1}$\,]","$v_\mathrm{esc}$ [\,km\,s$^{-1}$\,]",$P_\mathrm{unbound}$,$T_\mathrm{eff}$ [K],$\log g$,[Fe/H],"$\Delta v_{\rm RV}$ [\,km\,s$^{-1}$\,]",notes
1,1383279090527227264,"li2021,liao2024",6.38669482421875,652.670755394828,54.72435578699624,851.9432267870457,520.0124942337341,0.996,4801.0,1.884,-1.4,-0.37582275390624886,high-confidence unbound; dual-catalogue
2,1204061267883975040,liao2024,9.7394677734375,612.1718144933496,89.60428081283716,845.7232101676566,566.9801160620349,0.67,4612.38,1.175,-2.377,-3.7929663085937477,likely unbound
3,3877058564258758656,liao2024,5.51031884765625,497.5524976383372,50.01967340930212,733.9582463416796,485.6048199155754,0.571,5142.63,2.291,-1.214,-5.833288574218727,likely unbound
4,1375165725506487424,"li2021,liao2024",7.507490234375,529.5166628097617,69.39273386660632,742.3898661440633,527.3650748607131,0.489,4242.47,0.749,-1.294,-8.64410400390625,dual-catalogue
5,2105847208541125248,liao2024,9.0034794921875,480.49651632312896,56.42606631283296,568.7384102000485,491.1982180110796,0.422,4507.15,1.078,-1.22,-4.558832397460947,---
6,4450458649852400640,liao2024,6.1907626953125,570.5491692839546,48.63681169236901,695.7542168354174,578.7204328542393,0.413,4757.56,1.723,-1.592,-4.259704284667976,---
7,1477675943342041472,liao2024,7.7536416015625,505.25584804876166,73.59601518876494,703.6480623395493,526.9680653558324,0.36,4798.73,1.671,-1.659,-4.842536315917968,---
8,1297316350890352000,liao2024,9.1148876953125,525.0307308762452,84.78646648639103,746.5353846165996,554.2540236592694,0.341,4430.71,1.245,-1.227,-7.259863281249977,---
9,3960007851762445696,"li2021,liao2024",6.35853466796875,482.48246307103767,61.01491724893146,700.4154250568428,508.0092379437506,0.32,4928.46,2.128,-1.342,-8.738812866210935,dual-catalogue
10,3651065597121243648,liao2024,5.49711474609375,520.8108856419309,95.36292103111178,739.9288189161342,564.1416896697114,0.296,5059.02,2.355,-2.112,-7.776596984863275,---
11,1480182073940289024,liao2024,7.01602197265625,500.2220281107585,50.14817973452222,740.7834970251032,523.7532297573911,0.288,5667.21,3.54,-1.778,-1.4170312499999795,---
12,4429980078286167424,liao2024,5.9659306640625,527.3221443217789,63.78370462292124,751.9027165890528,574.7650123266072,0.204,4987.77,2.365,-1.668,-8.454223709106444,---
13,3696393857329932672,liao2024,5.66302392578125,413.4012642303524,129.58001711176723,635.6669998363448,518.4406996455141,0.202,6522.65,4.287,-1.067,-19.309398193359385,---
14,2125719266307162240,liao2024,15.75023828125,384.4145003186212,61.40153348989917,537.031524602932,451.809648831442,0.169,4147.95,1.173,-0.726,-4.052751464843766,---
15,1850497933774341504,liao2024,6.904744140625,444.52802720656047,46.185237359081,413.5731458850962,495.9261669892354,0.153,5594.82,3.13,-1.118,-9.137629699707034,---
16,4467979165785261824,liao2024,5.750572265625,498.10048652714505,68.32677246079389,669.8134771210808,574.3581299754645,0.134,4927.17,2.264,-1.372,-9.394157104492194,---
17,802937337058585344,liao2024,5.75187744140625,404.7167405572803,56.83387477689558,606.5274337686236,478.7575912422035,0.117,6198.41,4.063,-0.949,-9.273958740234377,---
18,125510837155597696,liao2024,2.6857314453125,440.4143839508341,37.840928987327786,617.0687002781104,487.784523394206,0.115,5161.63,2.393,-2.146,-19.03145935058592,---
19,1298337316156102144,"li2021,liao2024",5.73095361328125,471.9415020347517,57.13187792601757,629.1719880850939,548.199127889029,0.097,5461.14,2.863,-1.133,-5.009581909179687,dual-catalogue
20,4547925480869924096,liao2024,9.132703125,446.7729659609329,66.09354345471861,663.5053569388159,553.5775243527438,0.093,4569.65,1.33,-1.402,-15.889433593750027,---
